PC1,PC2,Filename,Full title,Display title,Author,Genre,Publication date,,,,,,,,,,,,,,,,,,
-4.03E-05,-0.004793344,1663.charleton.chorea-gigantum.eebo.txt,"Chorea gigantum, or, The most famous antiquity of Great-Britan [sic], vulgarly called Stone-Heng, standing on Salisbury Plain, restored to the Danes by Walter Charleton","Chorea Gigantum, or the Most Famous Antiquity of Great Britain","Charleton, Walter",Royal Society text,1663,,,,,,,,,,,,,,,,,,
0.00603022,-0.01525355,1664.boyle.touching-colours.eebo.txt,"Experiments and considerations touching colours first occasionally written among some other essays to a friend and now suffer'd to come abroad as the beginning of an experimental history of colours / by the honourable Robert Boyle, fellow of the Royal Society.",Experiments and Considerations Touching Colors,"Boyle, Robert",Royal Society text,1664,,,,,,,,,,,,,,,,,,
-0.013119102,-0.007211765,1665.boyle.occasional-reflections.eebo.txt,"Occasional reflections upon several subiects, whereto is premis'd a discourse about such kind of thoughts",Ocassional Reflections Upon Several Subjects,"Boyle, Robert",Royal Society text,1665,,,,,,,,,,,,,,,,,,
0.017366761,-0.017268693,1665.boyle.touching-cold.eebo.txt,"New experiments and observations touching cold, or, An experimental history of cold, begun to which are added an examen of antiperistasis, and an examen of Mr. Hobs's doctrine about cold : whereunto is annexed An account of freezing, brought in to the Royal Society, by the learned Dr. C. Merret, a fellow of it : together with an appendix, containing some promiscuous experiments and observations relating to the precedent history of cold",New Experiments and Observations Touching Cold,"Boyle, Robert",Royal Society text,1665,,,,,,,,,,,,,,,,,,
0.020432278,-0.003758869,1665.hooke.micrographia.eebo.txt,"Micrographia: or Some physiological descriptions of minute bodies made by magnifying glasses� With observations and inquiries thereupon. By R. Hooke, Fellow of the Royal Society.","Micrographia, or Some Physiological Descriptions","Hooke, Robert",Royal Society text,1665,,,,,,,,,,,,,,,,,,
0.045170722,-0.021360439,1666.boyle.hydrostatical-paradoxes.eebo.txt,"Hydrostatical paradoxes made out by new experiments, for the most physical and easie",Hydrostatical Paradoxes,"Boyle, Robert",Royal Society text,1666,,,,,,,,,,,,,,,,,,
-0.001784857,-0.011591795,1666.boyle.origin-forms.eebo.txt,"The origine of formes and qualities, (according to the corpuscular philosophy) illustrated by considerations and experiments (written formerly by way of notes upon an essay about nitre) by ... Robert Boyle ...",The Origin of Forms and Qualities,"Boyle, Robert",Royal Society text,1666,,,,,,,,,,,,,,,,,,
-0.018004635,0.01312369,1666.evelyn.kalendarium-hortense.eebo.txt,"Kalendarium hortense, or, The gard'ners almanac directing what he is to do monthly throughout the year, and what fruits and flowers are in prime","Kalendarium Hortense, or, the Gardener's Almanac","Evelyn, John",Royal Society text,1666,,,,,,,,,,,,,,,,,,
0.004226062,0.016652403,1666.ward.sermon-peers.eebo.txt,"A sermon preached before the peers, in the abby-church at Westminster October 10, MDCLXVI / by Seth Lord Bishop of Exon.",A Sermon Preached Before Peers,"Ward, Seth",Royal Society text,1666,,,,,,,,,,,,,,,,,,
7.87423023666381e-05,0.022107399,1667.cavendish-w.new-method.eebo.txt,"A new method, and extraordinary invention, to dress horses, and work them according to nature as also, to perfect nature by the subtility of art, which was never found out, but by ... William Cavendishe ...",A New Method to Dress Horses and Work Them,"Newcatle, William Cavendish",Royal Society text,1667,,,,,,,,,,,,,,,,,,
-0.008354919,0.01156629,1667.evelyn.publick-employment.eebo.txt,"Publick employment and an active life prefer'd to solitude and all its appanages, such as fame, command, riches, conversation, &c. in reply to a late ingenious essay of a contrary title / by J.E. Esq, S.R.S.",Public Employment and an Active Life,"Evelyn, John",Royal Society text,1667,,,,,,,,,,,,,,,,,,
-0.011609609,0.00535982,1668.charleton.ephesian-cimmerian.eebo.txt,"The Ephesian and Cimmerian matrons, two notable examples of the power of love & wit.",The Ephesian and Cimmerian Matrons,"Charleton, Walter",Royal Society text,1668,,,,,,,,,,,,,,,,,,
-0.021852106,-0.023427157,1668.wilkins.real-character.eebo.txt,"An essay towards a real character, and a philosophical language",An Essay Towards a Real Character,"Wilkins, John",Royal Society text,1668,,,,,,,,,,,,,,,,,,
0.039853317,-0.022139514,1669.boyle.continuation-experiments.eebo.txt,"A continuation of new experiments physico-mechanical, touching the spring and weight of the air and their effects. whereto is annext a short discourse of the atmospheres of consistent bodies / written by way of letter to the right honourable the Lord Clifford and Dungarvan by the honourable Robert Boyle ...",A Continuation of New Experiments Physico-Mechanical,"Boyle, Robert",Royal Society text,1669,,,,,,,,,,,,,,,,,,
-0.000220263,-0.015953689,1669.boyle.physiological-essays.eebo.txt,"Certain physiological essays and other tracts written at distant times, and on several occasions by the honourable Robert Boyle ; wherein some of the tracts are enlarged by experiments and the work is increased by the addition of a discourse about the absolute rest in bodies.",Certain Physiological Essays,"Boyle, Robert",Royal Society text,1669,,,,,,,,,,,,,,,,,,
-0.013237098,0.008575227,1669.charleton.brief-discourse.eebo.txt,"A brief discourse concerning the different wits of men written at the request of a gentleman, eminent in virtue, learning, fortune, in the year 1664, and now published with consent of the author.",A Brief Discourse Concerning the Different Wits of Men,"Charleton, Walter",Royal Society text,1669,,,,,,,,,,,,,,,,,,
-0.004906645,0.010509289,1669.charleton.two-discourses.eebo.txt,"Concerning the different wits of men.; Brief discourse concerning the different wits of men.; Brief discourse concerning the various sicknesses of wines, and their respective remedies.; Mysterie of vintners.",Two Discourses,"Charleton, Walter",Royal Society text,1669,,,,,,,,,,,,,,,,,,
